name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
TEAMGROUP T-Force Delta RGB 32 GB,129.99,"5,7200","2,16",4.062,Black / White,9.444,34
Kingston FURY 128 GB,465.47,"5,5600","4,32",3.636,White,14.286,40
Crucial CT16G48C40U5 16 GB,44.99,"5,4800","1,16",2.812,Black,16.667,40
G.Skill Flare X5 32 GB,104.99,"5,6000","2,16",3.281,Black,10.667,32
Kingston FURY Beast 16 GB,49,"4,3600","2,8",3.062,Black,9.444,17
TEAMGROUP T-Force Delta RGB 32 GB,104.99,"5,6400","2,16",3.281,Black,12.5,40
Corsair Vengeance LPX 16 GB,54.99,"4,3600","2,8",3.437,Black / Yellow,8.889,16
Crucial Ballistix 16 GB,,"4,3200","2,8",,Black,10,16
TEAMGROUP T-Force DELTAα RGB 32 GB,102.99,"5,6000","2,16",3.218,White,12.667,38
Corsair Vengeance 192 GB,659.99,"5,5200","4,48",3.437,Black,14.615,38
Corsair Vengeance RGB Pro 64 GB,194.99,"4,3600","4,16",3.047,Black,10,18
Kingston HyperX Fury 8 GB,,"4,2666","1,8",,Black,12.003,16
Corsair Vengeance 64 GB,244.99,"5,6600","2,32",3.828,Black / Gray,9.697,32
Corsair Vengeance 32 GB,119.99,"5,6000","2,16",3.75,Black / Silver,10,30
G.Skill Trident Z5 RGB 32 GB,189.99,"5,7800","2,16",5.937,Black,9.231,36
TEAMGROUP T-Force Vulcan 32 GB,89.99,"5,5600","2,16",2.812,Red,11.429,32
Corsair Vengeance 32 GB,159.99,"5,7200","2,16",5,Gray,9.444,34
TEAMGROUP Elite Plus 16 GB,,"5,4800","2,8",,Black,16.667,40
G.Skill Trident Z Royal 32 GB,105.99,"4,3600","2,16",3.312,Silver,10.556,19
Kingston ValueRAM 1 GB,10.03,"2,667","1,1",10.03,Green,14.993,5
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"5,5600","2,16",3.125,White,12.857,36
Corsair Vengeance RGB Pro 64 GB,149.99,"4,3200","2,32",2.344,Black,10,16
G.Skill Trident Z5 RGB 48 GB,299.99,"5,8200","2,24",6.25,White / Black,9.756,40
Crucial CT25664AA667 2 GB,10,"2,667","1,2",5,Green,14.993,5
Corsair Vengeance LPX 32 GB,95.99,"4,3600","4,8",3,Black / Yellow,10,18
Kingston FURY Beast RGB 64 GB,239.99,"5,6000","2,32",3.75,Black,12,36
G.Skill Trident Z5 Neo RGB 32 GB,113.99,"5,6000","2,16",3.562,Silver / Black,10,30
TEAMGROUP T-Create Expert 32 GB,59.99,"4,3200","2,16",1.875,Gray,10,16
Corsair Vengeance 32 GB,104.99,"5,6000","2,16",3.281,Black,12,36
G.Skill Ripjaws X 16 GB,37.99,"3,1600","2,8",2.374,Black / Red,12.5,10
Patriot Viper Venom 32 GB,97.99,"5,6400","2,16",3.062,Black / White,10,32
TEAMGROUP T-Force Delta RGB 32 GB,99.99,"5,5600","2,16",3.125,Black,12.857,36
G.Skill Aegis 32 GB,62.99,"4,3200","2,16",1.968,Red / Black,10,16
Corsair Vengeance LPX 64 GB,152.09,"4,3600","4,16",2.376,Black,10,18
Corsair Vengeance LPX 32 GB,94.99,"4,3600","2,16",2.968,Black / Yellow,8.889,16
G.Skill Trident Z5 RGB 32 GB,239.99,"5,8000","2,16",7.5,Black,9.5,38
G.Skill Trident Z RGB 128 GB,289.99,"4,3600","4,32",2.266,Black,10,18
Corsair Vengeance RGB Pro 16 GB,64.98,"4,3600","2,8",4.061,White,10,18
Corsair Vengeance RGB 64 GB,259.99,"5,6000","4,16",4.062,Black,12,36
TEAMGROUP T-Force Vulcan 32 GB,104.99,"5,6400","2,16",3.281,Black / Silver,10,32
Kingston FURY Beast 32 GB,124.87,"5,5600","2,16",3.902,Black,12.857,36
TEAMGROUP Elite 32 GB,75.98,"5,4800","2,16",2.374,Black,16.667,40
Corsair Vengeance 32 GB,119.99,"5,6200","2,16",3.75,Black / Silver,9.677,30
G.Skill Ripjaws S5 64 GB,204.99,"5,6400","2,32",3.203,Black,10,32
Patriot Viper Venom 16 GB,65.98,"5,5600","2,8",4.124,Black / White,14.286,40
G.Skill Trident Z5 RGB 48 GB,299.99,"5,8200","2,24",6.25,Black,9.756,40
Silicon Power XPOWER Turbine 32 GB,54.97,"4,3200","2,16",1.718,Blue,10,16
Kingston FURY Beast RGB 32 GB,98.14,"4,3200","2,16",3.067,Black,10,16
Samsung M378A1K43CB2-CRC 8 GB,18.01,"4,2400","1,8",2.251,Green,14.167,17
TEAMGROUP T-Force Delta RGB 32 GB,98.99,"5,6000","2,16",3.093,Black,12.667,38
Lexar Ares RGB 32 GB,114.99,"5,6400","2,16",3.593,Black / Silver,10,32
G.Skill Trident Z5 RGB 32 GB,164.99,"5,7600","2,16",5.156,Black,9.474,36
Corsair Dominator Titanium 64 GB,299.99,"5,6000","2,32",4.687,White,10,30
Patriot Signature Line 16 GB,26.99,"4,2666","1,16",1.687,Black,14.254,19
Corsair Dominator Titanium 32 GB,209.99,"5,7200","2,16",6.562,White,9.444,34
G.Skill Ripjaws V 64 GB,129.99,"4,3600","2,32",2.031,Black,10,18
TEAMGROUP T-Create Expert 32 GB,99.99,"5,6400","2,16",3.125,Black,10,32
Patriot Viper Steel 16 GB,39.99,"4,3200","2,8",2.499,Silver / Black,10,16
Corsair Vengeance 16 GB,54.99,"5,5200","1,16",3.437,Black,15.385,40
G.Skill Trident Z5 RGB 32 GB,114.99,"5,5600","2,16",3.593,Black,10,28
Kingston FURY Renegade 32 GB,139.38,"4,3600","2,16",4.356,Black,8.889,16
Silicon Power XPOWER Zenith Gaming 32 GB,94.97,"5,6000","2,16",2.968,White,10,30
Corsair Vengeance 32 GB,99.99,"5,5200","2,16",3.125,White,15.385,40
Corsair Dominator Titanium 32 GB,184.99,"5,6000","2,16",5.781,Black,10,30
G.Skill Ripjaws V 16 GB,34.99,"4,3200","1,16",2.187,Black,10,16
G.Skill Ripjaws V 32 GB,81.96,"4,4400","2,16",2.561,Black,8.636,19
Crucial Classic 16 GB,55.99,"5,5600","2,8",3.499,Black,16.429,46
G.Skill Trident Z5 RGB 32 GB,115.99,"5,6400","2,16",3.625,White / Black,10,32
G.Skill Trident Z Neo 16 GB,64.99,"4,3600","2,8",4.062,Black / Silver,8.889,16
TEAMGROUP T-Force Vulcan Z 32 GB,64.98,"4,4000","2,16",2.031,Gray,9,18
Corsair Vengeance RGB Pro 32 GB,124.99,"4,3200","4,8",3.906,White,10,16
Corsair Vengeance RGB RT 32 GB,104.99,"4,3600","2,16",3.281,Black,8.889,16
TEAMGROUP T-Force Delta RGB 16 GB,49.99,"4,3200","2,8",3.124,Black,10,16
Corsair Vengeance 64 GB,279.99,"5,6600","4,16",4.375,Black / Gray,9.697,32
TEAMGROUP T-Force Vulcan 32 GB,102.99,"5,6000","2,16",3.218,Black,10,30
TEAMGROUP Elite 32 GB,78.98,"5,5600","2,16",2.468,Black,16.429,46
Samsung M378B5173DB0-CK0 4 GB,10.07,"3,1600","1,4",2.518,Green,13.75,11
G.Skill Trident Z5 RGB 48 GB,378,"5,8400","2,24",7.875,White,9.524,40
Crucial Pro 64 GB,119.99,"4,3200","2,32",1.875,Black / Green,13.75,22
Crucial Pro 64 GB,174.99,"5,5600","2,32",2.734,Black,16.429,46
Patriot Viper Venom 32 GB,112.99,"5,7000","2,16",3.531,Black / White,9.143,32
G.Skill Aegis 16 GB,37.99,"4,3000","2,8",2.374,Black / Red,10.667,16
Lexar Hades OC 32 GB,60.82,"4,3600","2,16",1.901,Gray / Black,10,18
Corsair Vengeance RGB 96 GB,284.99,"5,5600","2,48",2.969,Black,14.286,40
Kingston Server Premier 64 GB,153.88,"4,3200","1,64",2.404,,13.75,22
Corsair Vengeance LPX 128 GB,269.99,"4,3200","4,32",2.109,Black / Yellow,10,16
Corsair Vengeance RGB Pro SL 32 GB,82.99,"4,3600","2,16",2.593,Black,10,18
TEAMGROUP T-Force Delta RGB 32 GB,124.99,"5,7200","2,16",3.906,White / Gray,9.444,34
Corsair Vengeance 32 GB,96.99,"5,5600","2,16",3.031,Black / Gray,14.286,40
Corsair Vengeance RGB RT 32 GB,144.99,"4,4600","2,16",4.531,Black,7.826,18
Corsair Vengeance RGB Pro 64 GB,154.97,"4,3600","2,32",2.421,Black,10,18
Crucial CT2K8G4DFRA32A 16 GB,43.98,"4,3200","2,8",2.749,Green,13.75,22
Kingston KVR1333D3N9HK2/8G 8 GB,49.99,"3,1333","2,4",6.249,Green,13.503,9
Corsair Vengeance LPX 32 GB,71.98,"4,2133","2,16",2.249,Black / Yellow,12.189,13
Supermicro MEM-DR412L-SL02-LR26 128 GB,,"4,2666","1,128",,Green / Black,16.504,22
Corsair Vengeance RGB RS 16 GB,59.99,"4,3200","2,8",3.749,Black / Gray,10,16
Kingston FURY Beast RGB 16 GB,87.99,"5,5600","2,8",5.499,Black,14.286,40
Patriot Viper Steel 32 GB,64.99,"4,3200","2,16",2.031,Silver / Black,10,16
Corsair Dominator Titanium 96 GB,459.99,"5,6000","4,24",4.792,Black,10,30
Kingston FURY Beast RGB 16 GB,,"5,6000","2,8",,Black,12,36
Kingston FURY Beast RGB 16 GB,84.99,"5,5200","2,8",5.312,Black,15.385,40
Corsair Vengeance LPX 16 GB,44.99,"4,2400","2,8",2.812,Black / Yellow,13.333,16
Lexar THOR 16 GB,60.05,"4,3200","2,8",3.753,Black,10,16
Corsair Dominator Platinum RGB 32 GB,214.99,"5,7600","2,16",6.718,Black,9.474,36
Corsair Vengeance RGB 32 GB,124.67,"5,6000","2,16",3.896,Black / Gray,12,36
G.Skill Ripjaws S5 64 GB,239.99,"5,6800","2,32",3.75,Black,10,34
Corsair Dominator Titanium 48 GB,269.99,"5,7200","2,24",5.625,Black,10,36
Corsair Vengeance RGB 32 GB,119.99,"5,6000","2,16",3.75,Black / Gray,10,30
Corsair Vengeance LPX 32 GB,72.99,"4,3600","2,16",2.281,Black,10,18
Corsair Vengeance 32 GB,119.99,"5,5600","2,16",3.75,White,12.857,36
TEAMGROUP T-Force Delta RGB 32 GB,104.99,"5,6400","2,16",3.281,White,12.5,40
TEAMGROUP T-Force Vulcan Z 16 GB,35.99,"4,3200","2,8",2.249,Red,10,16
Patriot Viper Xtreme 5 32 GB,174.99,"5,8200","2,16",5.468,Black,9.268,38
Kingston FURY Beast 32 GB,89.99,"4,3600","2,16",2.812,Black,10,18
Kingston FURY Beast 64 GB,230.99,"5,6000","2,32",3.609,Black / Silver,12,36
Corsair Dominator Platinum RGB 32 GB,119.99,"5,5200","2,16",3.75,Black / Silver,15.385,40
Corsair Dominator Platinum RGB 64 GB,309.99,"5,5600","4,16",4.844,Black,12.857,36
TEAMGROUP T-Force Delta RGB 48 GB,250.97,"5,8200","2,24",5.229,Black,9.268,38
TEAMGROUP Elite 16 GB,,"5,5200","2,8",,Black,16.154,42
G.Skill Ripjaws V 8 GB,69.98,"4,2400","1,8",8.748,Red,12.5,15
Corsair Vengeance 96 GB,354.99,"5,6000","2,48",3.698,Black / Silver,10,30
TEAMGROUP T-Create Expert 32 GB,60.99,"4,3600","2,16",1.906,Gray,10,18
Klevv BOLT V 32 GB,99.99,"5,6000","2,16",3.125,Black,10,30
G.Skill Trident Z RGB 32 GB,84.99,"4,4000","2,16",2.656,Black,9,18
TEAMGROUP T-Force Vulcan 16 GB,64.98,"5,5200","2,8",4.061,Black,15.385,40
G.Skill Ripjaws S5 96 GB,319.99,"5,6400","2,48",3.333,Black,10,32
Corsair Vengeance 96 GB,269.99,"5,5200","2,48",2.812,Black,14.615,38
TEAMGROUP T-Create Classic 16 GB,36.99,"4,3200","2,8",2.312,Silver,13.75,22
Kingston FURY Beast 16 GB,43.59,"4,3200","1,16",2.724,Black,10,16
OLOy ND4U1632161DJ0DA 32 GB,54.99,"4,3200","2,16",1.718,Black,10,16
Corsair Vengeance RGB Pro SL 64 GB,184.99,"4,3600","4,16",2.89,White,10,18
ADATA XPG Lancer Blade RGB 32 GB,114.99,"5,6400","2,16",3.593,Black,10,32
G.Skill Trident Z5 RGB 32 GB,119.99,"5,6400","2,16",3.75,Silver / Black,10,32
Corsair Vengeance LPX 8 GB,24.99,"4,3200","1,8",3.124,Black / Yellow,10,16
Corsair Vengeance RGB 32 GB,139.99,"5,6200","2,16",4.375,White,11.613,36
Lexar THOR 32 GB,85.75,"4,3200","2,16",2.68,Black,10,16
TEAMGROUP T-Create Expert 32 GB,129.99,"5,7200","2,16",4.062,Black,9.444,34
