name,price,type,efficiency,wattage,modular,color
Deepcool PM850D,87.98,ATX,gold,850,false,Black
Phanteks Revolt SFX,,SFX,platinum,850,Full,Black
Cooler Master MWE Bronze V2,,ATX,bronze,650,false,Black
Super Flower Leadex,,ATX,platinum,2000,Full,
be quiet! SFX L Power,146.38,SFX,gold,500,Full,
be quiet! System Power 9 500 CM,133.73,ATX,bronze,500,Semi,Black
Thermaltake TR2,62.52,ATX,,500,false,
NZXT C750 (2023),,ATX,bronze,750,false,Black
Cooler Master V650 V2,,ATX,gold,650,Full,White
EVGA 450 BR,,ATX,bronze,450,false,
Thermaltake Toughpower GF A3 - TT Premium Edition,148.68,ATX,gold,1200,Full,Black
SeaSonic PRIME PX-1300,330,ATX,platinum,1300,Full,Black
Corsair RM650,224.98,ATX,gold,650,Full,Black
EVGA SuperNOVA 550 G3,138.99,ATX,gold,550,Full,
Deepcool PM750D,88.75,ATX,gold,750,false,Black
MSI MPG A850GF,139.99,ATX,gold,850,Full,Black
Corsair RM650x (2018),175.51,ATX,gold,650,Full,Black / Silver
GameMax GX Pro Rampage,159.99,ATX,platinum,1050,Full,White
Asus ROG Strix Aura Edition,208.67,ATX,gold,1000,Full,Black
SeaSonic FOCUS GX,,ATX,gold,650,Full,Black
EVGA 600 BQ,189.89,ATX,bronze,600,Semi,
Corsair HX1000 Platinum,390,ATX,platinum,1000,Full,
Silverstone FX600 Platinum,179.99,Flex ATX,,600,false,Black
SeaSonic FOCUS GX-1000 ATX 3.0,195.53,ATX,gold,1000,Full,Black
Thermaltake Smart BM3,79.99,ATX,bronze,850,Semi,Black
Corsair CV450,,ATX,bronze,450,false,Black
SeaSonic PRIME Ultra Titanium,302.06,ATX,titanium,1000,Full,
ADATA XPG CORE Reactor 850,109.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GF3 TT Premium,109.99,ATX,gold,750,Full,Black
Corsair CX550 (2017),,ATX,bronze,550,false,
SeaSonic B12 BC,,ATX,bronze,750,false,
EVGA 550 B5,89.99,ATX,bronze,550,Full,Black
Thermaltake Toughpower GX1,78.45,ATX,gold,600,false,Black
SeaSonic FOCUS Plus Gold,169.99,ATX,gold,1000,Full,Black
Asus Prime AP-750G,109.99,ATX,gold,750,Full,White / Black
Silverstone SFX,210.98,SFX,titanium,800,Full,
MSI MEG Ai1000P PCIE5,261.17,ATX,platinum,1000,Full,Black / Copper
be quiet! Straight Power 11 850W,100.53,ATX,gold,850,Full,
Thermaltake Toughpower GF3 TT Premium,119.99,ATX,gold,850,Full,Black
SeaSonic FOCUS GX-850 ATX 3.0,164.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 1000 G7,154.99,ATX,gold,1000,Full,Black / Blue
Corsair CX550M,192,ATX,bronze,550,Semi,
EVGA SuperNOVA 850 G5,134.99,ATX,gold,850,Full,Black / Green
Deepcool PF500 230V,,ATX,plus,500,false,Black
Corsair CX450M (2015),136.77,ATX,bronze,450,Semi,
Cooler Master MasterWatt 550,92.49,ATX,bronze,550,Semi,
Asus ROG THOR 850P,265,ATX,platinum,850,Full,Black / Red
Segotep GM,,ATX,gold,750,Full,Black
Corsair CX650M,160.35,ATX,bronze,650,Semi,
Aerocool LUX RGB 750M (230V EU),208.57,ATX,bronze,750,Semi,Black
Deepcool PK500D,,ATX,bronze,500,false,Black
Silverstone DA750 Gold,130.91,ATX,gold,750,Full,Black / White
be quiet! Pure Power 12 M,149.9,ATX,gold,1200,Full,Black
Logisys PS480D,16.98,ATX,,480,false,
EVGA SuperNOVA 1000 P6,215.15,ATX,platinum,1000,Full,Black / Silver
EVGA 750 B5,99.99,ATX,bronze,750,Full,Black
Deepcool PX-G,134.99,ATX,gold,1000,Full,Black
be quiet! SFX Power 3 450,106.59,SFX,bronze,450,false,Black
Apevia Galaxy,79.98,ATX,gold,1000,Semi,Black
Silverstone DA850 Gold,,ATX,gold,850,Full,Black / White
EVGA 850 BQ,119.99,ATX,bronze,850,Semi,
EVGA 850 GQ,191.71,ATX,gold,850,Semi,
Asus ROG LOKI,230.33,SFX,platinum,850,Full,White / Silver
be quiet! Pure Power 11,,ATX,gold,500,false,Black
EVGA 650 GQ,157.99,ATX,gold,650,Semi,
Corsair RM750,239.94,ATX,gold,750,Full,Black
Corsair SF600,195,SFX,gold,600,Full,
Antec NeoECO Gold ZEN,135.33,ATX,gold,600,false,Black / Gold
ADATA XPG CORE Reactor 750,99.99,ATX,gold,750,Full,Black
Corsair VS350,,ATX,plus,350,false,Black
Deepcool PK650D,,ATX,bronze,650,false,Black
Corsair CX600,,ATX,bronze,600,false,
EVGA SuperNOVA 650 G5,105.1,ATX,gold,650,Full,Black / Green
EVGA SuperNOVA 750 G3,307.98,ATX,gold,750,Full,
SeaSonic FOCUS GX,,ATX,gold,550,Full,Black
MSI MPG A1000G,,ATX,gold,1000,Full,Black
SeaSonic G12 GC,,ATX,gold,750,false,Black / Blue
Corsair RM850,209.9,ATX,gold,850,Full,Black
EVGA SuperNOVA 1000 G5,164.99,ATX,gold,1000,Full,Black / Green
Super Flower Leadex Platinum SE,,ATX,platinum,1000,Full,Black
Silverstone SX1000-LPT,243.5,SFX,platinum,1000,Full,Black
Corsair RM850x,182.99,ATX,gold,850,Full,
EVGA SuperNOVA 850 G2,349.99,ATX,gold,850,Full,
Super Flower Leadex Platinum SE,159.99,ATX,platinum,1200,Full,Black
be quiet! Pure Power 11 600,109.97,ATX,gold,600,false,Black
EVGA 650 B5,83.99,ATX,bronze,650,Full,Black
Corsair AX1200i,657.73,ATX,platinum,1200,Full,
Asus ROG THOR P2 Gaming EVA Edition,506.54,ATX,platinum,1000,Full,Black / Silver
Thermaltake Toughpower GX3,84.99,ATX,gold,850,false,Black
Asus ROG Strix Aura Edition,239.99,ATX,gold,1200,Full,Black
be quiet! Pure Power 9 CM,125.31,ATX,bronze,600,Semi,Black
Cooler Master M2000,,ATX,platinum,2000,Full,Black
Thermaltake Toughpower,97.44,ATX,gold,750,Semi,
GameMax GX Pro Rampage,119.99,ATX,gold,850,Full,White
Raidmax XT,30.99,ATX,,400,false,
Corsair RM750x SHIFT,109.99,ATX,gold,750,Full / Side,Black
EVGA SuperNOVA 850 G3,322.99,ATX,gold,850,Full,
Thermaltake Toughpower GF A3 - TT Premium Edition,149.99,ATX,gold,1200,Full,Black
Cooler Master V850 V2,,ATX,gold,850,Full,White
Apevia Signature,69.98,ATX,bronze,1050,Semi,Black
Cooler Master G700,,ATX,gold,700,false,Black
PowerSpec PS 650BSM,,ATX,bronze,650,Semi,Black
SeaSonic VERTEX GX-1000,239.59,ATX,gold,1000,Full,Black / Silver
Silverstone HELA 1200R,236.16,ATX,platinum,1200,Full,Black
Corsair HX850,,ATX,platinum,850,Full,Black
Deepcool PF600 230V,,ATX,plus,600,false,Black
Apevia Spirit,,ATX,,600,false,
Deepcool PK750D,,ATX,bronze,750,false,Black
EVGA GE,86.47,ATX,gold,700,false,Black
Corsair TX550M Gold,,ATX,gold,550,Semi,
be quiet! Pure Power 11,,ATX,bronze,300,false,Black
SeaSonic FOCUS PX,262.6,ATX,platinum,850,Full,Black
Corsair RM650 (2019),216.52,ATX,gold,650,Full,Black
be quiet! Straight Power 12,139.9,ATX,platinum,750,Full,Black
Corsair VS550 (2018),,ATX,plus,550,false,
EVGA SuperNOVA 1600 P+,,ATX,platinum,1600,Full,Black
Silverstone SFX,95.38,SFX,bronze,450,false,Black
Corsair SF450,,SFX,platinum,450,Full,Black
SeaSonic VERTEX PX-1200,320.56,ATX,platinum,1200,Full,Black / Silver
Deepcool PF400 230V,,ATX,plus,400,false,Black
EVGA 500 BQ,,ATX,bronze,500,Semi,
Corsair RM750x White (2018),225,ATX,gold,750,Full,White / Black
SeaSonic PRIME TX,439.99,ATX,titanium,1300,Full,Black / Silver
SeaSonic G12 GC,,ATX,gold,650,false,Black / Blue
EVGA 750 BP,77.99,ATX,bronze,750,false,Black
EVGA SuperNOVA 650 G3,,ATX,gold,650,Full,
Gigabyte UD1000GM PG5 (rev. 2.0),144.99,ATX,gold,1000,Full,Black
ARESGAME AGV,,ATX,bronze,750,Semi,Black
Thermaltake Toughpower,,ATX,gold,650,Semi,
EVGA SuperNOVA 750 G5,129.29,ATX,gold,750,Full,Black / Green
Corsair HX850 Platinum,,ATX,platinum,850,Full,
Cooler Master V550 V2,,ATX,gold,550,Full,White
SeaSonic FOCUS,119.99,ATX,gold,850,Semi,Black
Deepcool PK550D,,ATX,bronze,550,false,Black
GameMax RGB Rainbow,,ATX,gold,550,Full,Black
Corsair HX1000i,448.99,ATX,platinum,1000,Full,
Corsair TX650M,,ATX,gold,650,Semi,Black
Cooler Master V SFX Gold ATX 3.0,159.99,SFX,gold,850,Full,Black
Raidmax RX-530SS,44.99,ATX,,530,Semi,
Phanteks AMP v2,,ATX,gold,1000,Full,White
Cooler Master MWE Bronze V2,,ATX,bronze,600,false,Black
EVGA SuperNOVA 650 G2,,ATX,gold,650,Full,
Deepcool DQ750-M-V2L,186.37,ATX,gold,750,Full,Black / Green
Asus TUF Gaming,,ATX,bronze,750,false,Black
GameMax RGB Rainbow,129.99,ATX,gold,850,Full,Black
be quiet! Dark Power 13,209.9,ATX,titanium,750,Full,Black
SeaSonic B12 BC,,ATX,bronze,650,false,
be quiet! System Power 9 700 CM,160.1,ATX,bronze,700,Semi,Black
Deepcool PK600D,,ATX,bronze,600,false,Black
Cooler Master MWE Bronze V2,,ATX,bronze,550,false,Black
be quiet! Pure Power 11,,ATX,gold,700,false,Black
Montech TITAN GOLD 1000W,149.99,ATX,gold,1000,Full,Black
Corsair RM750x,176.86,ATX,gold,750,Full,
Silverstone SFX,73.98,SFX,bronze,300,false,Black
Corsair RM850x (2018),,ATX,gold,850,Full,White / Black
GameMax GX Pro Rampage,94.99,ATX,gold,850,Full,Black
EVGA SuperNOVA 1000 G+,288.01,ATX,gold,1000,Full,Black
Corsair RM550x (2018),216,ATX,gold,550,Full,Black / Silver
NZXT C650 (2022),,ATX,gold,650,Full,Black
Asus ROG LOKI,189.99,SFX,platinum,750,Full,Black / Silver
Corsair CXM,172.86,ATX,bronze,750,Semi,
Cooler Master MWE Gold 650,,ATX,gold,650,Full,Black
Corsair CX600M,174.95,ATX,bronze,600,Semi,
SeaSonic FOCUS GX-750 ATX 3.0,139.99,ATX,gold,750,Full,Black
Corsair HX750 Platinum,339.99,ATX,platinum,750,Full,
Fractal Design Ion Gold,199.16,ATX,gold,750,Full,Black
Cooler Master MWE Bronze V2,,ATX,bronze,450,false,Black
SeaSonic G12 GM,,ATX,gold,750,Semi,Black / Blue
be quiet! Dark Power Pro 11,119.9,ATX,platinum,650,Semi,
GameMax RGB Rainbow,118.99,ATX,gold,750,Full,Black
Corsair CX650 (2017),,ATX,bronze,650,false,
SeaSonic PRIME TX-850,259.99,ATX,titanium,850,Full,Black
FSP Group Dagger Pro,136.99,SFX,gold,650,Full,Black
Corsair RM750,219.99,ATX,gold,750,Full,
Thermaltake Toughpower SFX,169.99,SFX,gold,1000,Full,Black
EVGA SuperNOVA 650 P5,115.9,ATX,platinum,650,Full,Black / Teal
Thermaltake Smart,,ATX,plus,430,false,Black / White
Cooler Master MWE White V2 230V,,ATX,plus,700,false,Black
Thermaltake Smart BM2,,ATX,bronze,650,Semi,Black
Corsair CX500M,,ATX,bronze,500,Semi,
Thermaltake Smart RGB 230V,140,ATX,plus,500,false,Black
Corsair CX750F,,ATX,bronze,750,Full,White / Black
NZXT C650,,ATX,bronze,650,Semi,Black
EVGA N1,59.99,ATX,,550,false,
be quiet! Dark Power Pro 12,,ATX,titanium,1200,Full,Black
