name,price,socket,form_factor,max_memory,memory_slots,color
MSI B450M-A PRO MAX,105.69,AM4,Micro ATX,32,2,Black
NZXT N7 B550,,AM4,ATX,128,4,White / Black
ASRock H610M-HVS,79.98,LGA1700,Micro ATX,64,2,Gray / Black
Asus PRIME H510M-K,131.2,LGA1200,Micro ATX,64,2,Black / Silver
NZXT N7 Z790,296.99,LGA1700,ATX,192,4,Black
Asus TUF GAMING B550M-PLUS WIFI II,199.9,AM4,Micro ATX,128,4,Black / Gray
ASRock B760 Pro RS/D4,129.99,LGA1700,ATX,128,4,Silver / Black
ASRock B760M PG SONIC WiFi,187.99,LGA1700,Micro ATX,192,4,Blue / Silver
Asus PRIME B650-PLUS,191.99,AM5,ATX,192,4,Black / Silver
Asus PRIME H510M-A WIFI,109.99,LGA1200,Micro ATX,64,2,Black / Silver
Asus ROG STRIX X670E-A GAMING WIFI,369.99,AM5,ATX,192,4,Silver / Black
Gigabyte B550M AORUS ELITE,134.55,AM4,Micro ATX,128,4,Black / Orange
MSI PRO Z790-S WIFI,169.99,LGA1700,ATX,192,4,Black
Gigabyte Z790 UD AC,179.99,LGA1700,ATX,192,4,Black
Asus PRIME Z790-V WIFI,,LGA1700,ATX,192,4,Black / Silver
Asus ProArt X670E-CREATOR WIFI,459.99,AM5,ATX,192,4,Black / Copper
ASRock B550 Phantom Gaming 4,114.99,AM4,ATX,128,4,Silver / Black
MSI MAG Z690 TOMAHAWK WIFI DDR4,342.05,LGA1700,ATX,128,4,Black / Silver
MSI PRO H610M-G WIFI DDR4,99.99,LGA1700,Micro ATX,64,2,Black / Silver
Gigabyte Z790 AORUS ELITE AX ICE,259.99,LGA1700,ATX,192,4,Silver / White
MSI MEG X670E GODLIKE,1224.99,AM5,EATX,192,4,Black
MSI MPG Z790I EDGE WIFI,309.99,LGA1700,Mini ITX,96,2,Silver / Black
Asus ROG STRIX Z790-A GAMING WIFI D4,259.99,LGA1700,ATX,128,4,Black / Silver
ASRock B660M-HDV,120.97,LGA1700,Micro ATX,64,2,Gray / Black
ASRock B450M Steel Legend,100.7,AM4,Micro ATX,64,4,Black / White
MSI MAG B650M MORTAR WIFI,199.99,AM5,Micro ATX,192,4,Black
MSI MPG B650 EDGE WIFI,256.99,AM5,ATX,192,4,Black / Silver
Gigabyte B550 AORUS ELITE V2,177,AM4,ATX,128,4,Black
Asus ROG STRIX Z690-I GAMING WIFI,257,LGA1700,Mini ITX,96,2,Black / Silver
ASRock Z790 PG LIGHTNING,209.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX X670E-F GAMING WIFI,389.99,AM5,ATX,192,4,Black / Silver
Asus ROG STRIX B450-F GAMING,,AM4,ATX,128,4,Black
Asus ProArt Z790-CREATOR WIFI,439.99,LGA1700,ATX,192,4,Black / Copper
ASRock B450M PRO4 R2.0,,AM4,Micro ATX,128,4,Gray / Black
Asus PRIME B550-PLUS AC-HES,109.99,AM4,ATX,128,4,Silver / Black
