name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Razer Atheris,,Optical,Wireless,7200,Right,White
Keychron M3 Mini,49,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Endgame Gear OP1we,99.99,Optical,"Wired, Wireless",19000,Right,White
Corsair Sabre RGB,,Optical,Wired,10000,Right,Black
Lenovo 06P4069,16.29,Optical,Wired,400,Both,Black
Adesso HC-3003PS,7.95,Optical,Wired,1000,Both,Black
HP HyperX Pulsefire Haste 2,49.99,Optical,Wired,3200,Right,White
Aula SI-9008,22.98,Optical,Wired,3500,Right,Black
Microsoft U7Z-00021,14.14,Laser,Wireless,,Both,Pink
Genius NX-7000,,Laser,Wireless,1200,Both,Black / White
MSI CLUTCH GM50,,Optical,Wired,7200,Right,Black
Zowie ZA13-C,,Optical,Wired,3200,Right,Black
