name,price,capacity,price_per_gb,type,cache,form_factor,interface
Acer Predator GM7000,94.82,1000,0.095,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP400,1370.24,8000,0.171,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 PRO XT,969.99,8000,0.121,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790,249.7,4000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,72.99,4000,0.018,5400,256,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,30.99,1000,0.031,7200,64,3.5,SATA 6.0 Gb/s
Seagate BarraCuda,65.37,2000,0.033,7200,64,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,109.99,6000,0.018,7200,128,3.5,SATA 6.0 Gb/s
Solidigm P41 Plus,105.49,2000,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Leven JPS800,99.99,2000,0.05,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel DC P3608,,4000,,SSD,,PCIe,PCIe x8
Patriot P210,49.99,1000,0.05,SSD,,2.5,SATA 6.0 Gb/s
Lexar NM620,71.8,1000,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda Q5,117,2000,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM620,129.36,2000,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM710,104.99,2000,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo,139.05,1000,0.139,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
ADATA Legend 800,99.99,2000,0.05,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 CORE XT,89.99,1000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Pro,419.99,22000,0.019,7200,512,3.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,58.99,1000,0.059,SSD,,2.5,SATA 6.0 Gb/s
